Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,Review,Genre,Country
2025-07-10,Slumdog Millionaire,2008,https://boxd.it/ah2cUn,3.0,,,2025-07-05,,"Drama, Romance",United Kingdom
2025-07-18,Big Fish,2003,https://boxd.it/anw1DJ,3.5,,,2025-07-17,,"Adventure, Fantasy, Drama",United States of America
2025-07-27,Materialists,2025,https://boxd.it/audh4F,2.0,,,2025-07-25,,"Romance, Drama","United States of America, Finland"
2025-08-06,Yes Man,2008,https://boxd.it/aCKg7r,3.0,,,2025-08-01,,"Comedy, Romance","United Kingdom, United States of America"
2025-08-06,Fifty Shades of Grey,2015,https://boxd.it/aCKqpP,0.5,,,2025-08-02,,"Drama, Romance, Thriller",United States of America
2025-08-06,Downsizing,2017,https://boxd.it/aCKgY1,2.0,,,2025-08-03,,"Drama, Science Fiction, Comedy",United States of America
2025-08-06,The Girl on the Train,2016,https://boxd.it/aCKi3r,3.5,,,2025-08-05,,"Crime, Mystery, Thriller","India, United States of America"
2025-08-11,Civil War,2024,https://boxd.it/aGAlpB,4.0,,,2025-08-10,Dreamy!,"War, Action, Drama","Finland, United Kingdom, United States of America"
2025-08-13,Into the Wild,2007,https://boxd.it/aI7OWf,2.5,,,2025-08-11,Don’t eat the herbs that you don’t know about.,"Adventure, Drama",United States of America
2025-08-13,My Oxford Year,2025,https://boxd.it/aI7PWP,0.5,,,2025-08-12,Jeez.,"Romance, Comedy, Drama",United States of America
2025-08-16,Persepolis,2007,https://boxd.it/aJYBAP,3.5,,,2025-08-14,,"Animation, Drama","France, United States of America"
2025-10-02,Meet Cute,2022,https://boxd.it/beEdzd,0.5,,,2025-10-01,,"Comedy, Romance, Science Fiction, Fantasy","Canada, United States of America"
2025-12-08,He's Just Not That Into You,2009,https://boxd.it/bY6owF,2.5,,,2025-12-07,,"Comedy, Romance, Drama",United States of America
2025-12-24,Annie Hall,1977,https://boxd.it/ccjZe1,3.0,,,2025-12-08,,"Comedy, Drama, Romance",United States of America
2025-12-23,"Crazy, Stupid, Love.",2011,https://boxd.it/cbffW5,2.5,Yes,,2025-12-20,,"Comedy, Drama, Romance",United States of America
